,City,Country,Lat,Long,Max Temp,Pct Humidity,Pct Cloudiness,Wind Speed,Description,Hotel Name
0,Castro,CL,-42.4721,-73.7732,57.38,90,90,11.5,light intensity shower rain,Hotel Esmeralda
1,Lufilufi,WS,-13.8745,-171.5986,78.58,76,47,19.82,light rain,Leuaina Beach Resort and Spa
2,Bredasdorp,ZA,-34.5322,20.0403,61.29,82,96,8.05,overcast clouds,Bredasdorp Country Manor
3,Paris,US,33.6609,-95.5555,71.17,83,75,10.36,broken clouds,"Holiday Inn Express & Suites Paris, an IHG Hotel"
4,Lagoa,PT,39.05,-27.9833,58.69,70,73,19.64,broken clouds,Casa Das Faias
5,Vaini,TO,-21.2,-175.2,77.16,100,90,13.8,moderate rain,Keleti Beach Resort
6,Garowe,SO,8.4054,48.4845,69.53,83,8,12.77,clear sky,Scansom Bookshop & Library
7,Kapaa,US,22.0752,-159.319,78.19,85,75,1.01,light rain,Sheraton Kauai Coconut Beach Resort
8,Fayaoue,NC,-20.65,166.5333,79.38,85,100,20.51,overcast clouds,Fayaoue Protestant Church
9,Rikitea,PF,-23.1203,-134.9692,77.76,73,18,12.1,light rain,People ThankYou
10,Goundam,ML,16.4145,-3.6708,71.31,17,0,11.07,clear sky,Radio Jimba
11,East London,ZA,-33.0153,27.9116,68.79,84,94,16.55,overcast clouds,Tu Casa
12,Chuy,UY,-33.6971,-53.4616,74.61,74,34,11.45,scattered clouds,Nuevo Hotel Plaza
13,Richards Bay,ZA,-28.783,32.0377,67.33,93,74,2.57,broken clouds,BON Hotel Waterfront Richards Bay
14,Bluff,NZ,-46.6,168.3333,58.8,81,94,7.78,overcast clouds,Bluff Homestead - Guesthouse & Campervan Park
15,Mar Del Plata,AR,-38.0023,-57.5575,75.22,92,5,21.0,clear sky,Gran Hotel Mar del Plata
16,Kampot,KH,10.6167,104.1833,77.05,68,100,10.09,overcast clouds,Two Moons Hotel
17,Hobart,AU,-42.8794,147.3294,70.27,80,20,1.01,few clouds,Mantra on Collins Hobart
18,Ardmore,US,34.1743,-97.1436,66.2,76,90,6.91,overcast clouds,D & D Fence
19,Kanniyakumari,IN,8.0833,77.5667,77.45,80,6,19.91,clear sky,Sparsa
20,Chateaubelair,VC,13.2833,-61.25,79.32,74,40,16.11,scattered clouds,Spring Village Adventist Church
21,Tagusao,PH,9.1924,117.8141,77.36,81,96,6.17,overcast clouds,Tagusao National High School
22,Rolla,US,37.9514,-91.7713,67.14,41,1,3.0,clear sky,"Holiday Inn Express & Suites Rolla - Univ of Missouri S&T, an IHG Hotel"
23,Qui Nhon,VN,13.7667,109.2333,71.83,89,86,12.35,overcast clouds,Hoang Yen Canary Hotel
24,Hobyo,SO,5.3505,48.5268,78.84,73,86,17.76,overcast clouds,Villa Galmudug State of Somalia
25,Albany,AU,-35.0169,117.8917,59.43,67,90,5.75,overcast clouds,Dog Rock Motel
26,Schonebeck,DE,52.0167,11.75,56.52,86,100,17.11,overcast clouds,Hotel Am Kurpark
27,Hilo,US,19.7297,-155.09,77.79,94,90,3.44,light rain,Hilo Hawaiian Hotel
28,Cockburn Town,TC,21.4612,-71.1419,78.15,67,0,18.48,clear sky,Osprey Beach Hotel
29,Vilhena,BR,-12.7406,-60.1458,79.02,69,0,12.66,clear sky,Hotel Mirage
30,Port Alfred,ZA,-33.5906,26.891,68.61,84,71,19.39,broken clouds,The Halyards Hotel
31,Atuona,PF,-9.8,-139.0333,78.12,77,7,15.01,light rain,Banque Socredo
32,New Norfolk,AU,-42.7826,147.0587,78.75,72,0,2.73,clear sky,The Shingles Riverside Cottages
33,Hermanus,ZA,-34.4187,19.2345,60.91,80,96,14.88,overcast clouds,Misty Waves Boutique Hotel
34,Half Moon Bay,US,37.4636,-122.4286,55.72,69,1,5.99,clear sky,"The Ritz-Carlton, Half Moon Bay"
35,Miri,MY,4.4148,114.0089,77.14,94,20,0.0,few clouds,"Mega Hotel, Miri"
36,Tocopilla,CL,-22.092,-70.1979,70.68,69,2,6.82,clear sky,Hotel Galvarino
37,Tchollire,CM,8.4022,14.1698,73.33,23,74,2.06,broken clouds,"Auberge ""l'amicale"""
38,Comodoro Rivadavia,AR,-45.8667,-67.5,71.46,21,0,26.46,clear sky,Austral Hotel
39,Cap Malheureux,MU,-19.9842,57.6142,75.69,75,19,5.01,few clouds,Pereybere Hotel & Spa
40,Rocha,UY,-34.4833,-54.3333,75.34,67,47,10.33,scattered clouds,la Estiva Park
41,Elizabeth City,US,36.2946,-76.2511,60.03,92,90,0.0,overcast clouds,Hampton Inn Elizabeth City
42,Akola,IN,20.7333,77.0,64.15,66,5,7.25,clear sky,Akot File Police Station
43,Pascagoula,US,30.3658,-88.5561,79.56,88,90,10.36,overcast clouds,Regency Inn
44,Vila Velha,BR,-20.3297,-40.2925,76.95,94,90,4.0,moderate rain,Quality Suites Vila Velha
45,Taoudenni,ML,22.6783,-3.9836,70.63,16,0,10.4,clear sky,Ruines du fort de Taoudénit
46,Yarada,IN,17.65,83.2667,71.92,83,20,2.3,mist,VVZ
47,Saint-philippe,RE,-21.3585,55.7679,74.79,78,70,10.6,broken clouds,"Chambres d'hôte ""La Trinité"""
48,Carnarvon,AU,-24.8667,113.6333,73.47,83,40,16.11,scattered clouds,Hospitality Carnarvon
49,Axim,GH,4.8699,-2.2405,79.88,84,84,7.87,broken clouds,Axim Beach Resort And Spa
50,Dingle,IE,52.1408,-10.2689,55.96,78,97,29.19,overcast clouds,Coastguard Restaurant
51,Barcelos,BR,-0.9747,-62.9242,79.02,87,58,3.02,broken clouds,Prefeitura Municipal de Barcelos
52,Ribeira Grande,PT,38.5167,-28.7,59.4,77,40,14.97,scattered clouds,Quinta da Meia Eira
53,Ponta Do Sol,CV,17.1994,-25.0919,74.98,61,97,7.49,overcast clouds,Residencial Ponta do Sol - Sintanton Trekking i
54,Chicama,PE,-7.8447,-79.1469,68.54,66,68,9.24,broken clouds,Balihai Bungalows
55,Moranbah,AU,-22.0016,148.0466,77.16,69,0,12.57,clear sky,Direct Hotels - Monterey Moranbah
56,Saint-francois,GP,16.2526,-61.2741,78.76,100,83,17.6,broken clouds,La Cocoteraie - Guadeloupe (by Popinns)
