City_ID,City,Country,Date,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ribeira Grande,PT,2021-12-26 00:16:15,38.5167,-28.7,64.26,91,100,35.37
1,Partyzany,UA,2021-12-26 00:16:16,46.3314,34.7503,42.19,94,91,12.91
2,Rikitea,PF,2021-12-26 00:16:16,-23.1203,-134.9692,77.05,78,100,21.61
3,Punta Arenas,CL,2021-12-26 00:13:29,-53.15,-70.9167,60.91,36,0,19.57
4,Avarua,CK,2021-12-26 00:16:17,-21.2078,-159.775,82.45,69,85,11.5
5,Cap-aux-meules,CA,2021-12-26 00:16:17,47.3821,-61.8597,32.05,86,75,17.27
6,Jardim,BR,2021-12-26 00:16:18,-21.4803,-56.1381,75.96,70,20,4.76
7,Henties Bay,NA,2021-12-26 00:16:18,-22.116,14.2845,61.86,89,0,7.07
8,Honningsvag,NO,2021-12-26 00:16:19,70.9821,25.9704,30.85,70,100,22.93
9,Lebu,CL,2021-12-26 00:16:19,-37.6167,-73.65,58.69,84,0,20.2
10,Ambilobe,MG,2021-12-26 00:16:19,-13.2,49.05,75.16,87,75,4.41
11,Aswan,EG,2021-12-26 00:16:20,24.0934,32.907,53.8,52,1,8.88
12,Porto Santo,PT,2021-12-26 00:16:20,33.072,-16.3415,68.31,88,40,11.5
13,Half Moon Bay,US,2021-12-26 00:15:23,37.4636,-122.4286,50.86,89,75,1.01
14,Dikson,RU,2021-12-26 00:16:21,73.5069,80.5464,-7.31,96,99,8.3
15,Cape Town,ZA,2021-12-26 00:13:53,-33.9258,18.4232,68.34,78,2,4.0
16,Saint-pierre,RE,2021-12-26 00:16:21,-21.3393,55.4781,77.29,75,81,4.61
17,Fort Nelson,CA,2021-12-26 00:16:22,58.8053,-122.7002,-24.21,76,1,0.0
18,Iqaluit,CA,2021-12-26 00:16:22,63.7506,-68.5145,1.13,70,20,20.0
19,Dalbandin,PK,2021-12-26 00:16:23,28.8947,64.4101,58.1,29,100,7.45
20,San Andres,CO,2021-12-26 00:16:23,12.5847,-81.7006,82.42,74,20,10.36
21,Brokopondo,SR,2021-12-26 00:16:24,4.75,-55.1667,76.69,89,99,6.55
22,Rosarito,MX,2021-12-26 00:16:24,32.3333,-117.0333,57.11,69,100,8.34
23,Faanui,PF,2021-12-26 00:16:25,-16.4833,-151.75,81.54,70,21,12.5
24,Busselton,AU,2021-12-26 00:16:25,-33.65,115.3333,76.08,48,17,13.47
25,Cidreira,BR,2021-12-26 00:16:26,-30.1811,-50.2056,72.0,81,18,15.95
26,Mahebourg,MU,2021-12-26 00:16:26,-20.4081,57.7,77.25,88,75,4.61
27,Vaini,TO,2021-12-26 00:16:27,-21.2,-175.2,84.36,79,75,13.8
28,Bethel,US,2021-12-26 00:16:28,41.3712,-73.414,45.05,92,90,0.0
29,Atar,MR,2021-12-26 00:16:28,20.5169,-13.0499,67.93,24,0,7.81
30,Lavrentiya,RU,2021-12-26 00:16:28,65.5833,-171.0,12.29,86,100,2.53
31,Vardo,NO,2021-12-26 00:16:29,70.3705,31.1107,27.36,75,100,23.71
32,Oranjemund,NA,2021-12-26 00:16:29,-28.55,16.4333,63.82,77,30,2.62
33,Salym,RU,2021-12-26 00:16:30,60.0625,71.4789,-6.66,96,19,6.42
34,Lagoa,PT,2021-12-26 00:16:30,39.05,-27.9833,62.82,89,100,31.05
35,Duku,NG,2021-12-26 00:16:30,11.2361,4.9073,74.97,18,90,6.4
36,Coquimbo,CL,2021-12-26 00:16:19,-29.9533,-71.3436,64.51,82,84,5.48
37,Manoel Urbano,BR,2021-12-26 00:16:31,-8.8389,-69.2597,79.16,82,97,2.91
38,Barrow,US,2021-12-26 00:16:31,71.2906,-156.7887,-18.38,76,20,5.75
39,Praia,CV,2021-12-26 00:16:32,14.9215,-23.5087,73.94,68,20,17.27
40,Belyy Yar,RU,2021-12-26 00:16:33,53.6039,91.3903,-13.11,84,100,0.0
41,Tres Arroyos,AR,2021-12-26 00:16:33,-38.3739,-60.2798,70.0,30,0,6.78
42,Guerrero Negro,MX,2021-12-26 00:16:33,27.9769,-114.0611,62.28,64,76,12.46
43,Bawku,GH,2021-12-26 00:16:34,11.0616,-0.2417,79.16,19,89,7.85
44,Newport,GB,2021-12-26 00:12:54,51.5877,-2.9984,50.86,94,100,11.07
45,Ushuaia,AR,2021-12-26 00:15:52,-54.8,-68.3,55.06,44,20,12.66
46,Saint George,US,2021-12-26 00:15:21,37.1041,-113.5841,54.95,53,1,1.01
47,Pavlodar,KZ,2021-12-26 00:16:35,52.3,76.95,15.6,92,90,4.47
48,Mataura,NZ,2021-12-26 00:16:35,-46.1927,168.8643,76.48,31,4,9.57
49,Jamestown,US,2021-12-26 00:12:10,42.097,-79.2353,47.08,95,90,8.01
50,Hithadhoo,MV,2021-12-26 00:16:36,-0.6,73.0833,82.38,70,74,13.18
51,East London,ZA,2021-12-26 00:16:36,-33.0153,27.9116,69.91,93,98,12.57
52,Torbay,CA,2021-12-26 00:16:37,47.6666,-52.7314,27.27,83,75,21.85
53,Kouango,CF,2021-12-26 00:16:37,4.9934,19.9619,79.99,63,95,2.21
54,Oriximina,BR,2021-12-26 00:16:38,-1.7656,-55.8661,75.49,90,91,1.77
55,Port Alfred,ZA,2021-12-26 00:16:38,-33.5906,26.891,68.92,86,100,13.42
56,Hilo,US,2021-12-26 00:16:38,19.7297,-155.09,78.53,49,75,10.36
57,Temir,KZ,2021-12-26 00:16:39,49.1414,57.13,4.32,90,18,8.68
58,Kapaa,US,2021-12-26 00:14:50,22.0752,-159.319,80.58,69,1,1.99
59,Dolores,AR,2021-12-26 00:16:39,-36.3132,-57.6792,67.6,40,1,9.06
60,Sisimiut,GL,2021-12-26 00:16:40,66.9395,-53.6735,22.77,61,0,6.78
61,Sao Jose Da Coroa Grande,BR,2021-12-26 00:16:40,-8.8978,-35.1478,80.19,83,100,12.53
62,Olafsvik,IS,2021-12-26 00:16:41,64.8945,-23.7142,30.49,76,100,26.37
63,Qaanaaq,GL,2021-12-26 00:15:14,77.484,-69.3632,10.53,89,100,6.67
64,Bilma,NE,2021-12-26 00:13:17,18.6853,12.9164,63.82,20,93,6.49
65,Yorkton,CA,2021-12-26 00:16:41,51.2167,-102.4677,-11.36,70,75,5.75
66,Lubbock,US,2021-12-26 00:12:46,33.6001,-101.8338,63.14,46,75,3.0
67,Provideniya,RU,2021-12-26 00:12:17,64.3833,-173.3,15.24,92,100,1.88
68,San Juan De Los Morros,VE,2021-12-26 00:16:42,9.9115,-67.3538,73.11,83,78,3.74
69,San Cristobal,VE,2021-12-26 00:16:43,7.7669,-72.225,69.98,83,50,1.01
70,Moletai,LT,2021-12-26 00:16:43,55.2333,25.4167,24.12,91,73,16.93
71,Tasiilaq,GL,2021-12-26 00:16:43,65.6145,-37.6368,26.76,55,78,4.76
72,Kinsale,IE,2021-12-26 00:16:44,51.7075,-8.5306,48.24,100,40,11.5
73,Comodoro Rivadavia,AR,2021-12-26 00:15:44,-45.8667,-67.5,62.46,67,0,10.36
74,Upernavik,GL,2021-12-26 00:12:56,72.7868,-56.1549,3.81,100,100,9.46
75,Port Elizabeth,ZA,2021-12-26 00:16:44,-33.918,25.5701,67.1,94,20,0.0
76,Saint-esteve,FR,2021-12-26 00:16:45,42.7131,2.843,47.98,93,0,3.44
77,Aasiaat,GL,2021-12-26 00:16:45,68.7098,-52.8699,11.37,75,9,12.24
78,Tessalit,ML,2021-12-26 00:16:46,20.1986,1.0114,63.9,17,2,6.93
79,Bonfim,BR,2021-12-26 00:16:46,3.0833,-59.95,82.02,62,95,7.07
80,Pangody,RU,2021-12-26 00:16:47,65.85,74.4859,-14.44,97,84,11.48
81,Maceio,BR,2021-12-26 00:16:47,-9.6658,-35.7353,81.84,78,20,8.05
82,Lappeenranta,FI,2021-12-26 00:16:48,61.0587,28.1887,-2.15,84,90,10.36
83,Champerico,GT,2021-12-26 00:16:48,14.3,-91.9167,83.35,69,4,8.37
84,Oksfjord,NO,2021-12-26 00:16:48,70.2396,22.3479,22.12,81,84,5.82
85,Castro,BR,2021-12-26 00:16:49,-24.7911,-50.0119,63.01,58,1,2.26
86,Ponta Do Sol,PT,2021-12-26 00:16:50,32.6667,-17.1,69.01,88,100,7.02
87,Marsa Matruh,EG,2021-12-26 00:16:50,31.3525,27.2453,57.7,68,0,5.57
88,Rawson,AR,2021-12-26 00:16:51,-43.3002,-65.1023,66.31,59,2,13.62
89,Waddan,LY,2021-12-26 00:16:52,29.1614,16.139,54.3,39,42,8.23
90,Souillac,MU,2021-12-26 00:16:52,-20.5167,57.5167,77.36,88,75,4.61
91,Tukrah,LY,2021-12-26 00:16:52,32.5341,20.5791,55.71,76,9,8.57
92,Saint-philippe,RE,2021-12-26 00:16:53,-21.3585,55.7679,77.22,88,90,1.48
93,Chaman,PK,2021-12-26 00:16:53,30.9236,66.4512,45.55,39,59,2.91
94,Norman Wells,CA,2021-12-26 00:16:54,65.282,-126.8329,-27.36,68,20,4.61
95,Puerto Ayora,EC,2021-12-26 00:16:54,-0.7393,-90.3518,70.56,93,67,4.0
96,Sakakah,SA,2021-12-26 00:16:55,29.9697,40.2064,44.17,72,8,6.89
97,Mangrol,IN,2021-12-26 00:16:55,21.1167,70.1167,68.18,80,1,8.79
98,Amambai,BR,2021-12-26 00:16:56,-23.1042,-55.2258,81.97,32,42,5.17
99,Mar Del Plata,AR,2021-12-26 00:16:56,-38.0023,-57.5575,65.08,86,0,1.01
100,Andenes,NO,2021-12-26 00:16:57,69.3143,16.1194,21.18,79,90,8.05
101,Inirida,CO,2021-12-26 00:16:57,3.8653,-67.9239,77.05,91,61,1.95
102,La Ronge,CA,2021-12-26 00:16:58,55.1001,-105.2842,-21.78,76,1,1.14
103,Bredasdorp,ZA,2021-12-26 00:16:58,-34.5322,20.0403,67.28,88,91,6.91
104,Atuona,PF,2021-12-26 00:16:59,-9.8,-139.0333,78.21,73,7,13.56
105,Clyde River,CA,2021-12-26 00:15:12,70.4692,-68.5914,1.63,78,100,21.85
106,Yellowknife,CA,2021-12-26 00:16:59,62.456,-114.3525,-4.72,87,90,17.27
107,Casma,CL,2021-12-26 00:16:27,-41.0082,-73.1244,67.24,66,0,6.51
108,Ancud,CL,2021-12-26 00:17:00,-41.8697,-73.8203,62.13,82,19,1.92
109,Berck,FR,2021-12-26 00:17:00,50.4,1.6,44.49,100,90,12.66
110,Riyadh,SA,2021-12-26 00:17:01,24.6877,46.7219,55.54,61,100,11.23
111,Oistins,BB,2021-12-26 00:17:01,13.0667,-59.5333,77.09,73,20,14.97
112,Morros,BR,2021-12-26 00:17:02,-9.4467,-46.3003,70.7,95,100,5.44
113,Jutai,BR,2021-12-26 00:17:02,-5.1833,-68.9,77.29,89,95,2.82
114,Yenagoa,NG,2021-12-26 00:17:03,4.9247,6.2642,76.96,86,47,3.36
115,Nome,US,2021-12-26 00:17:04,64.5011,-165.4064,32.16,93,90,6.91
116,Nouadhibou,MR,2021-12-26 00:17:04,20.931,-17.0347,67.98,56,0,12.66
117,Nantucket,US,2021-12-26 00:16:03,41.2835,-70.0995,48.31,93,90,9.22
118,Lafia,NG,2021-12-26 00:17:05,8.4833,8.5167,78.06,21,57,1.79
119,Katima Mulilo,NA,2021-12-26 00:17:05,-17.5,24.2667,67.86,87,75,3.96
120,Homer,US,2021-12-26 00:17:06,59.6425,-151.5483,33.04,82,90,0.0
121,Thompson,CA,2021-12-26 00:17:06,55.7435,-97.8558,-21.84,76,1,9.22
122,Sitka,US,2021-12-26 00:17:07,57.0531,-135.33,21.09,45,40,4.61
123,Nanortalik,GL,2021-12-26 00:17:07,60.1432,-45.2371,33.78,73,80,14.38
124,Vernon,CA,2021-12-26 00:17:07,50.2581,-119.2691,16.12,66,100,6.91
125,Matamoros,MX,2021-12-26 00:17:08,25.5333,-103.25,84.31,20,75,4.61
126,Chimoio,MZ,2021-12-26 00:17:08,-19.1164,33.4833,65.89,94,100,2.77
127,Hermanus,ZA,2021-12-26 00:17:09,-34.4187,19.2345,69.91,86,87,14.5
128,Creel,MX,2021-12-26 00:17:09,27.75,-107.6333,52.12,46,97,6.73
129,Karaton,ID,2021-12-26 00:17:09,-6.3424,106.1045,78.96,91,100,1.5
130,Haines Junction,CA,2021-12-26 00:17:10,60.7522,-137.5108,-4.05,71,100,1.14
131,Nouakchott,MR,2021-12-26 00:17:11,18.0858,-15.9785,69.73,36,0,10.65
132,Namibe,AO,2021-12-26 00:17:11,-15.1961,12.1522,68.07,69,56,8.48
133,West Bay,KY,2021-12-26 00:17:11,19.3667,-81.4167,79.07,73,75,1.01
134,Alta Floresta,BR,2021-12-26 00:17:12,-9.8756,-56.0861,72.41,99,100,1.92
135,La Palma,US,2021-12-26 00:17:12,33.8464,-118.0467,56.03,77,90,1.99
136,Casablanca,MA,2021-12-26 00:13:15,33.5928,-7.6192,62.33,88,75,5.99
137,Kiruna,SE,2021-12-26 00:17:13,67.8557,20.2251,11.32,85,90,10.36
138,Chuy,UY,2021-12-26 00:17:13,-33.6971,-53.4616,71.46,79,56,7.96
139,Rexburg,US,2021-12-26 00:17:14,43.826,-111.7897,29.71,80,90,6.91
140,Kodiak,US,2021-12-26 00:17:14,57.79,-152.4072,38.71,81,1,3.44
141,Inuvik,CA,2021-12-26 00:17:15,68.3499,-133.7218,-13.94,76,1,8.05
142,Havoysund,NO,2021-12-26 00:17:15,70.9963,24.6622,22.08,77,100,18.25
143,Cockburn Town,TC,2021-12-26 00:17:16,21.4612,-71.1419,76.96,73,40,6.91
144,Canakkale,TR,2021-12-26 00:17:16,40.0833,26.8333,50.58,91,40,5.1
145,San Patricio,US,2021-12-26 00:17:17,28.017,-97.5169,78.78,76,68,10.87
146,Kisangani,CD,2021-12-26 00:17:17,0.5167,25.2,70.99,97,100,1.07
147,Vilcun,CL,2021-12-26 00:17:18,-38.65,-72.2333,64.87,57,0,4.54
148,Derzhavinsk,KZ,2021-12-26 00:17:18,51.1,66.3167,-7.78,100,77,6.51
149,Katsina,NG,2021-12-26 00:17:18,12.9894,7.6006,65.05,19,100,9.37
150,Ridgecrest,US,2021-12-26 00:17:19,35.6225,-117.6709,53.46,57,1,15.99
151,Arraial Do Cabo,BR,2021-12-26 00:17:20,-22.9661,-42.0278,72.81,71,1,8.21
152,Bud,US,2021-12-26 00:17:20,39.447,-86.1758,53.74,90,59,6.06
153,Suluq,LY,2021-12-26 00:17:20,31.6682,20.2521,54.12,70,0,7.43
154,Tomatlan,MX,2021-12-26 00:17:21,19.9333,-105.25,77.86,56,11,5.55
155,Hambantota,LK,2021-12-26 00:17:21,6.1241,81.1185,71.53,78,50,12.15
156,Hobyo,SO,2021-12-26 00:17:22,5.3505,48.5268,79.14,67,90,13.06
157,Bazpur,IN,2021-12-26 00:17:22,29.15,79.1167,53.06,50,88,2.62
158,Yanam,IN,2021-12-26 00:17:22,16.7333,82.2167,65.73,91,4,1.66
159,Boa Vista,BR,2021-12-26 00:17:23,2.8197,-60.6733,82.38,78,0,4.61
160,Murgab,TM,2021-12-26 00:17:23,37.4966,61.9714,33.67,86,90,4.61
161,Warrington,GB,2021-12-26 00:17:24,53.3925,-2.5802,39.88,92,90,1.99
162,Shache,CN,2021-12-26 00:17:24,38.4167,77.2406,23.11,54,100,2.93
163,Taoudenni,ML,2021-12-26 00:17:24,22.6783,-3.9836,69.1,23,0,7.43
164,Geraldton,AU,2021-12-26 00:17:25,-28.7667,114.6,99.01,12,11,24.16
165,Walvis Bay,NA,2021-12-26 00:17:25,-22.9575,14.5053,62.1,82,0,3.44
166,Vitoria Da Conquista,BR,2021-12-26 00:17:26,-14.8661,-40.8394,62.35,98,100,4.43
167,Kurtamysh,RU,2021-12-26 00:17:26,54.9103,64.4319,-12.69,97,6,8.01
168,San Nicolas,PH,2021-12-26 00:17:27,18.1725,120.5953,78.71,73,75,13.8
169,Conde,BR,2021-12-26 00:17:27,-7.2597,-34.9075,80.06,89,20,5.75
170,Victoria,HK,2021-12-26 00:17:27,22.2855,114.1577,61.32,78,97,5.01
171,Tuktoyaktuk,CA,2021-12-26 00:17:28,69.4541,-133.0374,-22.0,76,1,11.5
172,Sainte-marie,RE,2021-12-26 00:17:28,-20.8968,55.5496,77.77,92,0,4.61
173,Togul,RU,2021-12-26 00:17:29,53.465,85.9128,7.03,97,100,1.7
174,Salalah,OM,2021-12-26 00:17:29,17.0151,54.0924,69.89,68,20,4.61
175,Colombo,LK,2021-12-26 00:13:18,6.9319,79.8478,70.97,81,50,8.93
176,Burgeo,CA,2021-12-26 00:15:21,47.6167,-57.6152,27.99,75,15,16.35
177,Am Timan,TD,2021-12-26 00:17:30,11.0297,20.2827,75.27,26,6,6.55
178,Lerwick,GB,2021-12-26 00:14:13,60.1545,-1.1494,39.2,62,54,8.61
179,Marsh Harbour,BS,2021-12-26 00:17:31,26.5412,-77.0636,72.66,56,0,2.24
