City_ID,City,Country,Date,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hermanus,ZA,2021-12-19 01:30:52,-34.4187,19.2345,64.9,89,14,7.52
1,Cabo San Lucas,MX,2021-12-19 01:36:56,22.8909,-109.9124,73.71,78,20,3.44
2,Ushuaia,AR,2021-12-19 01:34:21,-54.8,-68.3,53.26,71,40,24.16
3,Fez,MA,2021-12-19 01:37:28,34.0372,-4.9998,48.31,70,0,5.75
4,Hithadhoo,MV,2021-12-19 01:28:29,-0.6,73.0833,81.9,72,100,2.62
5,Namwala,ZM,2021-12-19 01:37:28,-15.7504,26.4384,65.53,97,100,5.28
6,Husavik,IS,2021-12-19 01:37:29,66.0449,-17.3389,33.71,89,100,9.55
7,Grindavik,IS,2021-12-19 01:30:50,63.8424,-22.4338,48.15,100,90,16.11
8,Kresttsy,RU,2021-12-19 01:37:29,58.2452,32.5165,32.47,98,100,9.44
9,Manavalakurichi,IN,2021-12-19 01:37:29,8.1333,77.3,80.69,75,91,10.42
10,Port Hardy,CA,2021-12-19 01:37:30,50.6996,-127.4199,41.0,100,75,4.61
11,Tuktoyaktuk,CA,2021-12-19 01:31:05,69.4541,-133.0374,-13.0,77,75,8.05
12,Aklavik,CA,2021-12-19 01:34:40,68.2191,-135.0107,-3.17,99,95,4.12
13,Arraial Do Cabo,BR,2021-12-19 01:37:31,-22.9661,-42.0278,73.74,77,8,10.83
14,Namibe,AO,2021-12-19 01:30:51,-15.1961,12.1522,68.23,72,98,6.13
15,Bay Roberts,CA,2021-12-19 01:37:31,47.5999,-53.2648,30.43,65,100,18.99
16,Puerto Ayora,EC,2021-12-19 01:34:46,-0.7393,-90.3518,69.55,96,92,1.99
17,Zhanaozen,KZ,2021-12-19 01:37:32,43.3,52.8,42.06,83,100,5.23
18,Grand Gaube,MU,2021-12-19 01:36:59,-20.0064,57.6608,73.38,84,0,2.98
19,Vardo,NO,2021-12-19 01:37:33,70.3705,31.1107,29.8,76,100,26.8
20,Tasiilaq,GL,2021-12-19 01:32:17,65.6145,-37.6368,32.16,95,100,25.61
21,Thompson,CA,2021-12-19 01:35:49,55.7435,-97.8558,-18.24,83,40,2.3
22,Ilulissat,GL,2021-12-19 01:37:33,69.2167,-51.1,37.42,48,84,26.46
23,Haftoni,AZ,2021-12-19 01:37:34,38.7632,48.7622,40.71,100,75,0.0
24,Amapa,BR,2021-12-19 01:37:34,1.0,-52.0,73.06,93,100,2.19
25,Rikitea,PF,2021-12-19 01:37:35,-23.1203,-134.9692,77.47,76,100,12.57
26,Punta Arenas,CL,2021-12-19 01:36:14,-53.15,-70.9167,57.31,58,20,18.41
27,College,US,2021-12-19 01:37:35,64.8569,-147.8028,12.15,82,90,3.44
28,Gobabis,NA,2021-12-19 01:37:36,-22.45,18.9667,65.84,75,50,10.07
29,Beloha,MG,2021-12-19 01:37:36,-25.1667,45.05,67.14,72,85,8.75
